,SP500 naive,SP500 hmm SP500 1,SP500 hmm SP500 0,SP500 hmm WTI 1,SP500 hmm WTI 0,WTI naive,WTI hmm SP500 1,WTI hmm SP500 0,WTI hmm WTI 1,WTI hmm WTI 0
EI_best_sharpe,0.273,-0.001,-0.293,-0.001,-0.247,0.136,0.107,-0.083,0.149,0.081
EI_best_params,"[8.584, 1.931]","[7.0, 7.972]","[15.7, 1.654]","[12.0, 9.962]","[11.674, 7.212]","[14.33, 3.667]","[22.026, 6.7]","[20.915, 2.119]","[3.625, 2.21]","[13.65, 2.856]"
qEI_best_sharpe,0.281,0.041,-0.268,-0.001,-0.247,0.176,0.061,-0.086,0.121,0.075
qEI_best_params,"[10.887, 1.18]","[12.837, 1.864]","[16.249, 1.225]","[12.0, 9.962]","[11.314, 6.524]","[15.708, 7.351]","[22.761, 7.636]","[20.237, 2.241]","[5.232, 1.909]","[13.23, 2.118]"
UCB_best_sharpe,0.165,0.103,-0.268,-0.001,-0.144,0.116,0.076,-0.086,0.14,0.023
UCB_best_params,"[10.147, 1.568]","[13.876, 1.316]","[15.732, 2.45]","[12.0, 9.962]","[15.799, 1.008]","[19.328, 5.214]","[6.84, 1.033]","[20.039, 2.18]","[3.788, 2.222]","[25.555, 7.996]"
qKG_best_sharpe,0.059,-0.001,-0.001,-0.001,-0.053,0.16,0.095,-0.082,-0.008,0.087
qKG_best_params,"[14.905, 1.186]","[7.0, 7.972]","[3.805, 7.476]","[10.862, 8.029]","[12.281, 1.394]","[17.323, 8.498]","[3.561, 1.829]","[18.848, 7.494]","[4.782, 1.244]","[14.99, 6.739]"
Best_sharpe,0.281,0.103,-0.001,-0.001,-0.053,0.176,0.107,-0.082,0.149,0.087
Best_params,"[10.887, 1.18]","[13.876, 1.316]","[3.805, 7.476]","[12.0, 9.962]","[12.281, 1.394]","[15.708, 7.351]","[22.026, 6.7]","[18.848, 7.494]","[3.625, 2.21]","[14.99, 6.739]"
