time,date,open,high,low,close,Volume
873756000,1997-08-09,933.75,941.25,932.75,934,11387
873842400,1997-09-09,933.75,934.25,914.5,915.25,2523
873928800,1997-10-09,924,929.75,910.25,918.25,9945
874015200,1997-11-09,918,936.5,913.5,933.75,8911
874274400,1997-14-09,933.5,939.75,929,931.5,11874
874360800,1997-15-09,931.25,960,930.25,956,11093
874447200,1997-16-09,956,962.5,951.5,956,11620
874533600,1997-17-09,955.75,970.5,954.75,957.75,10005
874620000,1997-18-09,957.75,963.25,953,960.5,12126
874879200,1997-21-09,960.25,972,960.25,966.25,10198
874965600,1997-22-09,965.25,967.25,956.5,962,14580
875052000,1997-23-09,961.5,970.5,952,954.5,14114
875138400,1997-24-09,953.75,957.5,945.5,946.5,12097
875224800,1997-25-09,946.25,956.5,946.25,953.25,11152
875484000,1997-28-09,953.25,964.5,950.25,961.75,15239
875570400,1997-29-09,961,965.25,952.75,954.5,14015
875656800,1997-30-09,955.5,966.5,954.5,963.5,9651
875743200,1997-01-10,963.25,969.5,961,969,13792
875829600,1997-02-10,969.25,985.5,961.75,975.5,9245
876088800,1997-05-10,976.75,983.75,976.5,981.5,11896
876175200,1997-06-10,981.5,992.25,977.5,989.5,16204
876261600,1997-07-10,989.5,991.75,974.75,982.25,9407
876348000,1997-08-10,982.25,983.25,969.25,978,6506
876434400,1997-09-10,978.75,981,964,976.75,3914
876693600,1997-12-10,976.75,981.75,974,976.25,11923
876780000,1997-13-10,976.25,981.5,968.5,977.5,9715
876866400,1997-14-10,975.75,976.75,968,973.5,12998
876952800,1997-15-10,973.5,981.25,955.25,959.75,13573
877039200,1997-16-10,959,960,935.5,948.75,11772
877298400,1997-19-10,963.5,963.5,962.25,962.25,10576
877384800,1997-20-10,964.25,980.5,964.25,979.5,10284
877471200,1997-21-10,979,980.5,970.5,974.25,13567
877557600,1997-22-10,973,974.25,947.5,955.5,14924
877644000,1997-23-10,956,969,941.5,944,15394
877906800,1997-26-10,942.5,944,874,874,17082
877993200,1997-27-10,862,933,844,924.5,16552
878079600,1997-28-10,924.5,942,916.25,924.5,13868
878166000,1997-29-10,924.5,928.5,902,903,14353
878252400,1997-30-10,902,926.25,889.75,924,11469
878511600,1997-02-11,923.75,948,921.25,945.75,11354
878598000,1997-03-11,946,946.75,936.25,945.75,11065
878684400,1997-04-11,941.5,956,938.25,947,8873
878770800,1997-05-11,946.5,947.5,937.25,942.25,13527
878857200,1997-06-11,942.25,943,916.5,931.25,9940
879116400,1997-09-11,930,940.5,922.75,926.25,6889
879202800,1997-10-11,926,929.75,924.25,926.5,14190
879289200,1997-11-11,926.5,929.5,905.5,908.25,13929
879375600,1997-12-11,907,922.5,902.5,919.25,11389
879462000,1997-13-11,920,932.5,920,932.5,9936
879721200,1997-16-11,932,954.5,932,950,10836
879807600,1997-17-11,950,954.5,940,942.5,11297
879894000,1997-18-11,942.25,951.5,936.25,947.75,10550
879980400,1997-19-11,948,965.5,947,963,9902
880066800,1997-20-11,962.5,971,957.5,969.5,7759
880326000,1997-23-11,968.5,969,947,949.75,10626
880412400,1997-24-11,950,957.5,944.75,951.75,6905
880498800,1997-25-11,952,959.75,948.75,955,2113
880671600,1997-27-11,954.75,962.25,953.75,955,10503
880930800,1997-30-11,955.5,979.5,955.5,979.5,10021
881017200,1997-01-12,980,982,972,975,12160
881103600,1997-02-12,974.75,981.25,969,977.5,12238
881190000,1997-03-12,977.5,985.75,972.5,977,14021
881276400,1997-04-12,976.25,989,963,986.5,8595
881535600,1997-07-12,986.5,989.75,980.5,984.5,11308
881622000,1997-08-12,984.75,986.25,974.5,979,11609
881708400,1997-09-12,978.75,979.75,963.5,970.25,3858
881794800,1997-10-12,981,981.5,962,965.25,11754
881881200,1997-11-12,964.75,974.5,957.75,966.5,10702
882140400,1997-14-12,966.75,978.5,960.5,974.25,9155
882226800,1997-15-12,973.5,985.75,973.25,980.5,9590
882313200,1997-16-12,980.25,988,974.5,975.5,12068
882399600,1997-17-12,975.25,976.5,960.5,965,15892
882486000,1997-18-12,964,964,957.5,957.5,9434
882745200,1997-21-12,956.75,962.75,956.75,962.75,6200
882831600,1997-22-12,962.75,965,944,945,3671
882918000,1997-23-12,944.75,953.5,941.5,942.25,1907
883090800,1997-25-12,944,949.5,943,946,1907
883350000,1997-28-12,945.5,966.5,941.25,965.75,6556
883436400,1997-29-12,966.5,980.5,965.5,979.25,5283
883522800,1997-30-12,979.5,984,975.25,979,4654
883695600,1998-01-01,979.25,984.75,972.5,984.75,12496
883954800,1998-04-01,987,992.75,976.5,987,12950
884041200,1998-05-01,987,987.75,970.5,971,13629
884127600,1998-06-01,970.75,974.75,960.5,974,13767
884214000,1998-07-01,973.75,977.25,960.5,961.25,18484
884300400,1998-08-01,962,963,925.5,929.5,20954
884559600,1998-11-01,929,948.25,914.5,945.5,12493
884646000,1998-12-01,945.5,960,944.5,959.5,12534
884732400,1998-13-01,960,966.25,953.75,963.25,11962
884818800,1998-14-01,963.5,964,954.75,955,10032
884905200,1998-15-01,955,972.75,952.5,968.5,10321
885250800,1998-19-01,968.5,986,966.75,985.25,14658
885337200,1998-20-01,984.5,985.25,967.5,975.5,15422
885423600,1998-21-01,977.25,977.5,964.25,966.25,15769
885510000,1998-22-01,966,972.5,955,964.5,12059
885769200,1998-25-01,961,969.75,953.5,963.5,15501
885855600,1998-26-01,963.25,979.75,960.75,973.75,13140
885942000,1998-27-01,974,985,973,982,13732
886028400,1998-28-01,982,999,979.75,987,14178
886114800,1998-29-01,987.75,993.5,984,987.75,12241
886374000,1998-01-02,988,1009,987.75,1004,11133
886460400,1998-02-02,1002.75,1011.75,1001.25,1010.75,13851
886546800,1998-03-02,1011,1014.75,1002.75,1009.75,13655
886633200,1998-04-02,1009.5,1019.25,1004,1009.5,13169
886719600,1998-05-02,1009,1019,1008,1018.5,11431
886978800,1998-08-02,1019,1022,1010.25,1015,12783
887065200,1998-09-02,1014.75,1027.75,1012.5,1024.25,9479
887151600,1998-10-02,1024,1026.5,1019.5,1023.75,13278
887238000,1998-11-02,1023.5,1031.5,1011.25,1026.75,6939
887324400,1998-12-02,1026.75,1028.25,1020.75,1022.25,9204
887670000,1998-16-02,1022.5,1033.5,1017.5,1027.5,12052
887756400,1998-17-02,1027.5,1036,1024,1035.25,11393
887842800,1998-18-02,1035.5,1038,1024.75,1030.75,11520
887929200,1998-19-02,1030.25,1038,1024.75,1037.5,11424
888188400,1998-22-02,1037.25,1045.75,1033.75,1041.25,13681
888274800,1998-23-02,1041.5,1041.75,1030.25,1033.75,9898
888361200,1998-24-02,1033.25,1049.5,1032.75,1045.5,10694
888447600,1998-25-02,1045.5,1052.5,1042,1052,10142
888534000,1998-26-02,1050.5,1055,1046,1050.5,10898
888793200,1998-01-03,1049.25,1057,1046.5,1050,12346
888879600,1998-02-03,1049.5,1056.5,1044.75,1055.5,13469
888966000,1998-03-03,1055.25,1055.5,1043.5,1048,16113
889052400,1998-04-03,1045.75,1046,1032,1038.75,13961
889138800,1998-05-03,1038.5,1058,1034.5,1057.25,11339
889398000,1998-08-03,1054,1061.5,1051,1054,5483
889484400,1998-09-03,1054,1067.25,1053.25,1065,18511
889570800,1998-10-03,1065,1071,1064.25,1068.5,3177
889657200,1998-11-03,1068.5,1073.5,1063.5,1072.5,1559
889743600,1998-12-03,1084,1089,1078.5,1081,11015
890002800,1998-15-03,1080,1092.5,1076.75,1091.75,12254
890089200,1998-16-03,1091.25,1094.25,1086,1094.25,10975
890175600,1998-17-03,1094,1098,1089.25,1097.75,9655
890262000,1998-18-03,1097.25,1102,1095.75,1101.75,12649
890348400,1998-19-03,1103.75,1113.75,1100.5,1111.25,12448
890607600,1998-22-03,1110.5,1113.5,1104,1108.25,11597
890694000,1998-23-03,1108.5,1119.25,1107.5,1117,16114
890780400,1998-24-03,1117,1125.25,1102.5,1113.75,12935
890866800,1998-25-03,1113.75,1118,1107,1110.75,12520
