,SP500 naive,SP500 hmm SP500 1,SP500 hmm SP500 0,SP500 hmm WTI 1,SP500 hmm WTI 0,WTI naive,WTI hmm SP500 1,WTI hmm SP500 0,WTI hmm WTI 1,WTI hmm WTI 0
EI_best_sharpe,0.24,0.006,-0.136,-0.031,-0.019,0.682,0.459,0.219,0.556,0.241
EI_best_params,"[9.097, 74.556]","[19.0, 59.0]","[13.859, 74.859]","[7.481, 99.799]","[13.307, 68.315]","[11.215, 20.598]","[5.333, 28.933]","[14.906, 68.492]","[6.946, 78.514]","[21.283, 54.949]"
qEI_best_sharpe,0.27,0.012,-0.138,-0.033,-0.01,0.682,0.422,0.226,0.605,0.252
qEI_best_params,"[9.012, 73.717]","[9.589, 92.139]","[13.6, 79.931]","[10.938, 94.19]","[15.514, 26.53]","[11.105, 20.671]","[3.935, 59.485]","[6.373, 71.477]","[7.349, 79.059]","[18.947, 57.331]"
UCB_best_sharpe,0.116,0.006,-0.076,-0.089,-0.001,0.682,0.299,0.269,0.605,0.243
UCB_best_params,"[8.0, 73.0]","[19.0, 59.0]","[9.686, 78.842]","[7.241, 94.859]","[24.687, 24.711]","[11.18, 20.749]","[3.8, 74.234]","[29.05, 42.517]","[7.938, 79.92]","[18.937, 55.466]"
qKG_best_sharpe,0.19,0.026,-0.001,0.032,0.192,0.608,0.523,0.209,0.614,0.216
qKG_best_params,"[10.689, 81.22]","[22.519, 26.334]","[28.69, 28.566]","[3.676, 27.396]","[20.714, 21.647]","[4.634, 54.497]","[6.68, 25.044]","[16.973, 25.109]","[7.967, 82.5]","[21.0, 55.0]"
Best_sharpe,0.27,0.026,-0.001,0.032,0.192,0.682,0.523,0.269,0.614,0.252
Best_params,"[9.012, 73.717]","[22.519, 26.334]","[28.69, 28.566]","[3.676, 27.396]","[20.714, 21.647]","[11.215, 20.598]","[6.68, 25.044]","[29.05, 42.517]","[7.967, 82.5]","[18.947, 57.331]"
